ccode1,country,year,IdealPointDistance
625,CHN,2018,0.6436584
626,RUS,2018,0.0073737
626,CHN,2018,0.6047771
630,RUS,2018,2.0114408
630,CHN,2018,1.4140374
640,RUS,2018,0.4957346
640,CHN,2018,1.093138
645,RUS,2018,1.0214087
645,CHN,2018,0.4240053
651,RUS,2018,1.3522408
651,CHN,2018,0.7548374
652,RUS,2018,1.9322018
652,CHN,2018,1.3347984
660,RUS,2018,1.070865
660,CHN,2018,0.4734616
663,RUS,2018,0.7422605
663,CHN,2018,0.1448571
666,RUS,2018,2.4111762
666,CHN,2018,3.0085796
670,RUS,2018,0.8092555
670,CHN,2018,0.2118521
679,RUS,2018,0.9386412
679,CHN,2018,0.3412378
690,RUS,2018,0.9801789
690,CHN,2018,0.3827755
692,RUS,2018,0.6852922
692,CHN,2018,0.0878888
694,RUS,2018,0.7896374
694,CHN,2018,0.192234
696,RUS,2018,0.7386226
696,CHN,2018,0.1412192
698,RUS,2018,1.088683
698,CHN,2018,0.4912796
700,RUS,2018,1.0222308
700,CHN,2018,0.4248274
701,RUS,2018,0.965786
701,CHN,2018,0.3683826
702,RUS,2018,0.6703928
702,CHN,2018,0.0729894
703,RUS,2018,0.8503869
703,CHN,2018,0.25298349999999997
704,RUS,2018,0.544844
704,CHN,2018,0.0525594
705,RUS,2018,0.5111105
705,CHN,2018,0.0862929
710,RUS,2018,0.5974034
712,RUS,2018,0.6014751
712,CHN,2018,0.00407170000000001
731,RUS,2018,0.7462186
731,CHN,2018,0.1488152
732,RUS,2018,0.8019287
732,CHN,2018,1.3993321
740,RUS,2018,0.6668333
740,CHN,2018,1.2642367
750,RUS,2018,0.388022
750,CHN,2018,0.2093814
760,RUS,2018,0.6246747
760,CHN,2018,0.0272713
770,RUS,2018,0.4520412
770,CHN,2018,0.1453622
771,RUS,2018,0.6595369
771,CHN,2018,0.0621335
775,RUS,2018,0.9245443
775,CHN,2018,0.3271409
780,RUS,2018,0.6817831
780,CHN,2018,0.0843796999999999
781,RUS,2018,0.599472
781,CHN,2018,0.00206859999999998
790,RUS,2018,0.6940728
790,CHN,2018,0.0966694
800,RUS,2018,0.4509806
800,CHN,2018,0.1464228
811,RUS,2018,1.4035478
811,CHN,2018,0.8061444
812,RUS,2018,1.1405748
812,CHN,2018,0.5431714
816,RUS,2018,0.9676701
816,CHN,2018,0.3702667
820,RUS,2018,0.8136602
820,CHN,2018,0.2162568
830,RUS,2018,0.5148166
830,CHN,2018,0.0825868
835,RUS,2018,1.0302126
835,CHN,2018,0.4328092
840,RUS,2018,0.4372609
840,CHN,2018,0.1601425
850,RUS,2018,1.1552758
850,CHN,2018,0.5578724
860,RUS,2018,0.3980559
860,CHN,2018,0.1993475
900,RUS,2018,1.3543442
900,CHN,2018,1.9517476
910,RUS,2018,0.01912485
910,CHN,2018,0.57827855
920,RUS,2018,0.634524
920,CHN,2018,1.2319274
935,RUS,2018,0.0186298
935,CHN,2018,0.6160332
940,RUS,2018,0.1744851
940,CHN,2018,0.7718885
946,RUS,2018,0.3838178
946,CHN,2018,0.9812212
947,RUS,2018,0.00629659
947,CHN,2018,0.59110681
950,RUS,2018,0.00441107
950,CHN,2018,0.59299233
955,RUS,2018,0.0680257
955,CHN,2018,0.6654291
970,RUS,2018,0.3543522
970,CHN,2018,0.9517556
983,RUS,2018,0.7477946
983,CHN,2018,1.345198
986,RUS,2018,0.1530182
986,CHN,2018,0.7504216
987,RUS,2018,1.3779162
987,CHN,2018,1.9753196
990,RUS,2018,0.02792563
990,CHN,2018,0.56947777
2,RUS,2019,2.5048161
2,CHN,2019,2.956348
20,RUS,2019,1.2580601
20,CHN,2019,1.709592
31,RUS,2019,0.4222692
31,CHN,2019,0.0292627
40,RUS,2019,1.7300969
40,CHN,2019,1.278565
41,RUS,2019,0.1106215
41,CHN,2019,0.5621534
42,RUS,2019,0.4276009
42,CHN,2019,0.023931
51,RUS,2019,0.5886956
51,CHN,2019,0.1371637
52,RUS,2019,0.5858502
52,CHN,2019,0.1343183
53,RUS,2019,0.3795797
53,CHN,2019,0.0719522
54,RUS,2019,0.2319425
54,CHN,2019,0.2195894
55,RUS,2019,0.6504143
55,CHN,2019,0.1988824
56,RUS,2019,0.5986013
56,CHN,2019,0.1470694
57,RUS,2019,0.7382613
57,CHN,2019,0.2867294
58,RUS,2019,0.6543985
58,CHN,2019,0.2028666
60,RUS,2019,0.5661164
60,CHN,2019,0.1145845
70,RUS,2019,0.14201707
70,CHN,2019,0.30951483
80,RUS,2019,0.3233735
80,CHN,2019,0.1281584
