reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,HS2,imp_sum_hs2,exp_sum_hs2_5yr,imp_rank_hs2_5yr,imp_rank_hs2_5yr
arm,Armenia,rus,Russian Federation,15,Base metals and articles of base metal,76,320297513,2983386,25,44
arm,Armenia,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",71,234964716,281151191,19,6
arm,Armenia,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,15,188463618,54648,16,60
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",22,96346587,947010397,9,3
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",18,119362441,41420877,10,19
arm,Armenia,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,137350184,11253197,10,52
arm,Armenia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,239745065,49626275,13,49
arm,Armenia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,81808073,1608951,12,42
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",24,79869648,40552249,7,13
arm,Armenia,rus,Russian Federation,11,Textile and textile articles,55,25485101,2950036,3,32
arm,Armenia,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,67327281,5400207,37,50
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",21,76876942,11535376,9,41
arm,Armenia,rus,Russian Federation,02,Vegetable products,12,28095205,519355,14,52
arm,Armenia,rus,Russian Federation,15,Base metals and articles of base metal,72,164793419,24629703,61,36
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,34,43210451,2381224,10,47
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",17,62800382,2450724,9,36
arm,Armenia,rus,Russian Federation,15,Base metals and articles of base metal,73,127291192,9676198,18,50
arm,Armenia,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,92969352,1150681,39,44
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,28,14241792,1796816,68,54
arm,Armenia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,274776145,46436033,17,54
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",19,91409054,1538132,9,50
arm,Armenia,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",90,39650526,79909543,17,35
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,30,56558623,58479789,10,36
arm,Armenia,rus,Russian Federation,02,Vegetable products,11,52222745,452268,10,30
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,31,50773251,17892,71,40
arm,Armenia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",69,28715387,4509354,10,33
arm,Armenia,rus,Russian Federation,20,Miscellaneous manufactured articles,96,20301544,1452963,8,45
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,33,74127220,10050239,9,40
arm,Armenia,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",48,87223047,1088057,26,53
arm,Armenia,rus,Russian Federation,01,Live animals and animal products,04,32715340,55534378,6,15
arm,Armenia,rus,Russian Federation,20,Miscellaneous manufactured articles,95,6634967,1024693,9,51
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",23,41884735,1169851,23,42
arm,Armenia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",68,21634596,31083925,25,22
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",20,35017600,93249461,6,14
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,38,25174535,3298155,23,53
arm,Armenia,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,104515264,14699196,17,52
arm,Armenia,rus,Russian Federation,01,Live animals and animal products,02,32940467,242897,9,30
arm,Armenia,rus,Russian Federation,02,Vegetable products,07,11594352,144990864,28,12
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,29,7966098,179348,61,62
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,32,32844258,945354,8,57
